Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
Acme-Taxi-maven,ReservationUserController.suspend,0,0.666667,0.333333,0.586207,0.413793,0.409091,0.517857,0.651316,1.426230,0
Acme-Taxi-maven,ReservationUserController.suspend,1,0.000000,1.000000,1.000000,0.000000,0.181818,0.071429,1.578947,0.442623,1
Acme-Taxi-maven,ReservationUserController.suspend,4,0.111111,0.888889,0.956522,0.043478,0.409091,0.410714,0.769737,1.131148,0
Acme-Taxi-maven,ReportActorController.save,0,0.166667,0.833333,0.904762,0.095238,0.444444,0.583333,0.206349,1.400000,0
Acme-Taxi-maven,ReportActorController.save,5,0.230769,0.769231,0.769231,0.230769,0.481481,0.361111,0.174603,0.800000,0
Acme-Taxi-maven,ReportActorController.save,3,0.000000,1.000000,1.000000,0.000000,0.074074,0.055556,2.619047,0.800000,1
Acme-Taxi-maven,RepairShopAdminController.delete,4,0.500000,0.500000,0.600000,0.400000,0.500000,0.555556,0.351906,1.153846,0
Acme-Taxi-maven,RepairShopAdminController.delete,0,0.000000,1.000000,1.000000,0.000000,0.375000,0.333333,0.492669,0.923077,0
Acme-Taxi-maven,RepairShopAdminController.delete,2,0.500000,0.500000,0.500000,0.500000,0.125000,0.111111,2.155425,0.923077,1
Acme-Taxi-maven,ReviewAdminController.delete,1,0.166667,0.833333,0.866667,0.133333,0.461538,0.517241,0.378805,1.176471,0
Acme-Taxi-maven,ReviewAdminController.delete,0,0.000000,1.000000,1.000000,0.000000,0.153846,0.137931,1.984216,0.941176,1
Acme-Taxi-maven,ReviewAdminController.delete,2,0.200000,0.800000,0.800000,0.200000,0.192308,0.172414,0.818489,0.941176,0
Acme-Taxi-maven,ReviewAdminController.delete,4,0.200000,0.800000,0.800000,0.200000,0.192308,0.172414,0.818489,0.941176,0
Acme-Taxi-maven,RepairShopMechanicController.delete,0,0.000000,1.000000,1.000000,0.000000,0.428571,0.384615,0.434846,0.949367,0
Acme-Taxi-maven,RepairShopMechanicController.delete,4,0.400000,0.600000,0.714286,0.285714,0.476190,0.538462,0.351391,1.196202,0
Acme-Taxi-maven,RepairShopMechanicController.delete,2,0.500000,0.500000,0.500000,0.500000,0.095238,0.076923,2.213763,0.854430,1
Acme-Taxi-maven,RequestUserController.cancel,2,0.090909,0.909091,0.941176,0.058824,0.379310,0.333333,0.841079,0.950311,0
Acme-Taxi-maven,RequestUserController.cancel,1,0.000000,1.000000,1.000000,0.000000,0.206897,0.117647,1.484258,0.614907,1
Acme-Taxi-maven,RequestUserController.cancel,0,0.500000,0.500000,0.571429,0.428571,0.413793,0.549020,0.674663,1.434783,0
Acme-Taxi-maven,UserController.save,0,0.750000,0.250000,0.437500,0.562500,0.500000,0.727273,1.000000,1.800000,0
Acme-Taxi-maven,UserController.save,1,0.666667,0.333333,0.200000,0.800000,0.375000,0.227273,2.000000,0.750000,0
Acme-Taxi-maven,UserController.save,3,0.000000,1.000000,1.000000,0.000000,0.125000,0.045455,0.000000,0.450000,1
Acme-Taxi-maven,ReviewUserController.saveDriver,0,0.111111,0.888889,0.909091,0.090909,0.310345,0.275000,1.344587,0.904110,0
Acme-Taxi-maven,ReviewUserController.saveDriver,1,0.250000,0.750000,0.789474,0.210526,0.413793,0.475000,0.733411,1.171233,0
Acme-Taxi-maven,ReviewUserController.saveDriver,2,0.125000,0.875000,0.900000,0.100000,0.275862,0.250000,0.922002,0.924658,1
Acme-Taxi-maven,ReviewUserController.saveRepairShop,1,0.300000,0.700000,0.764706,0.235294,0.434783,0.548387,0.668016,1.327137,0
Acme-Taxi-maven,ReviewUserController.saveRepairShop,4,0.166667,0.833333,0.833333,0.166667,0.260870,0.193548,0.874494,0.780669,1
